Ticket Id,Subject,Description,Category,Sub Category,Status,Priority,Created Time,Resolved Time,Group,Requester Name,Department,Location
HR-40151,Tax declaration window reopen request,Tax declaration window reopen request. Employee raised via HR portal.,PF/Investment/Tax,,Resolved,P2 - High,06/08/2025 10:38,09/08/2025 19:37,HR Helpdesk,Employee 7435,IT,HQ
HR-40296,ID card reissue,ID card reissue. Employee raised via HR portal.,ID Cards & Access,,Resolved,P3 - Medium,15/07/2025 18:44,20/07/2025 14:39,Benefits Team,Employee 9913,Regulatory Affairs,Region South
HR-40148,Tax declaration window reopen request,Tax declaration window reopen request. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P4 - Low,18/07/2025 07:09,20/07/2025 05:45,HR Helpdesk,Employee 8705,R&D,Plant B
HR-40268,Name correction in HR system,Name correction in HR system. Employee raised via HR portal.,Employee Data Updates,,Closed,P3 - Medium,05/07/2025 09:29,06/07/2025 20:44,Benefits Team,Employee 6361,R&D,Plant B
HR-40284,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Resolved,P3 - Medium,28/09/2025 10:30,29/09/2025 03:54,HR Helpdesk,Employee 2154,Quality,Plant A
HR-40079,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Closed,P3 - Medium,18/09/2025 06:50,21/09/2025 00:29,Payroll Team,Employee 1941,Marketing,Plant B
HR-40086,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Closed,P3 - Medium,20/07/2025 21:11,21/07/2025 20:12,Payroll Team,Employee 5173,Finance,Region South
HR-40307,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,Resolved,P3 - Medium,01/08/2025 21:42,02/08/2025 21:20,Payroll Team,Employee 8467,IT,Plant A
HR-40087,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Closed,P2 - High,27/09/2025 02:07,29/09/2025 14:31,Payroll Team,Employee 5358,Field Sales,Region West
HR-40305,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,Resolved,P3 - Medium,21/08/2025 16:29,22/08/2025 01:49,Payroll Team,Employee 4542,Supply Chain,Plant B
HR-40229,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,On Hold,P3 - Medium,02/08/2025 21:14,,Payroll Team,Employee 5476,IT,Plant B
HR-40200,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,On Hold,P4 - Low,20/07/2025 22:38,,Payroll Team,Employee 2570,HR,Plant B
HR-40166,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Open,P2 - High,24/07/2025 00:55,,Benefits Team,Employee 4126,Manufacturing,Region South
HR-40269,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,On Hold,P3 - Medium,31/08/2025 10:20,,Payroll Team,Employee 1086,Regulatory Affairs,HQ
HR-40288,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Closed,P3 - Medium,03/07/2025 10:39,04/07/2025 07:10,Payroll Team,Employee 7701,Marketing,Region South
HR-40062,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Closed,P4 - Low,27/08/2025 23:52,28/08/2025 22:17,Benefits Team,Employee 8028,Manufacturing,Region West
HR-40085,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Resolved,P4 - Low,07/07/2025 20:34,09/07/2025 16:02,HR Helpdesk,Employee 3726,Finance,Region West
HR-40059,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Open,P2 - High,11/08/2025 19:57,,HR Helpdesk,Employee 6013,Manufacturing,Plant B
HR-40116,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Open,P3 - Medium,14/07/2025 22:45,,Benefits Team,Employee 1299,Quality,Plant A
HR-40252,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,On Hold,P3 - Medium,29/08/2025 17:37,,Benefits Team,Employee 8137,R&D,Plant A
HR-40298,ID card reissue,ID card reissue. Employee raised via HR portal.,ID Cards & Access,,Closed,P4 - Low,14/08/2025 10:44,15/08/2025 13:01,Payroll Team,Employee 1599,Marketing,Plant B
HR-40096,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P4 - Low,28/07/2025 02:12,31/07/2025 16:05,Benefits Team,Employee 2879,Field Sales,Plant A
HR-40236,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,Open,P3 - Medium,22/07/2025 02:11,,HR Helpdesk,Employee 8319,Regulatory Affairs,Plant A
HR-40033,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P2 - High,03/09/2025 09:06,06/09/2025 05:24,Payroll Team,Employee 9596,Supply Chain,Region South
HR-40090,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Closed,P2 - High,13/07/2025 02:50,13/07/2025 14:04,Payroll Team,Employee 4960,Regulatory Affairs,Plant A
HR-40042,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Closed,P2 - High,26/09/2025 16:50,30/09/2025 08:13,Benefits Team,Employee 9910,Supply Chain,Region West
HR-40124,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Open,P2 - High,18/07/2025 00:44,,Payroll Team,Employee 7061,Quality,Plant A
HR-40050,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Closed,P3 - Medium,14/08/2025 03:41,15/08/2025 05:09,Benefits Team,Employee 7293,IT,Plant B
HR-40290,ID card reissue,ID card reissue. Employee raised via HR portal.,ID Cards & Access,,Closed,P2 - High,27/09/2025 21:12,01/10/2025 23:08,Payroll Team,Employee 7216,Manufacturing,Plant A
HR-40291,ID card reissue,ID card reissue. Employee raised via HR portal.,ID Cards & Access,,Closed,P3 - Medium,28/08/2025 05:18,30/08/2025 22:04,Payroll Team,Employee 5938,Field Sales,Region South
HR-40276,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Closed,P3 - Medium,23/09/2025 16:59,25/09/2025 15:37,HR Helpdesk,Employee 7343,Manufacturing,Plant B
HR-40128,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Resolved,P2 - High,19/09/2025 03:35,26/09/2025 09:01,Payroll Team,Employee 3124,HR,HQ
HR-40261,Name correction in HR system,Name correction in HR system. Employee raised via HR portal.,Employee Data Updates,,Closed,P2 - High,11/09/2025 06:24,13/09/2025 11:21,Payroll Team,Employee 5649,Supply Chain,HQ
HR-40099,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P3 - Medium,18/08/2025 01:22,19/08/2025 03:41,Benefits Team,Employee 8982,IT,Region West
HR-40192,Add dependent to insurance policy,Add dependent to insurance policy. Employee raised via HR portal.,Benefits & Medical Insurance,,Open,P3 - Medium,21/07/2025 13:06,,HR Helpdesk,Employee 9925,Regulatory Affairs,Region North
HR-40060,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Closed,P2 - High,14/09/2025 02:54,16/09/2025 00:38,Benefits Team,Employee 1839,Field Sales,Region West
HR-40043,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,09/09/2025 03:25,10/09/2025 21:08,Payroll Team,Employee 7227,Quality,Plant A
HR-40249,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,Closed,P4 - Low,03/09/2025 08:19,05/09/2025 20:14,Payroll Team,Employee 7597,Field Sales,Region North
HR-40189,Add dependent to insurance policy,Add dependent to insurance policy. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P2 - High,23/07/2025 13:54,30/07/2025 12:04,Benefits Team,Employee 9778,Supply Chain,Plant A
HR-40019,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P2 - High,24/09/2025 15:57,26/09/2025 08:12,Benefits Team,Employee 1316,Finance,Region West
HR-40056,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,19/09/2025 03:07,21/09/2025 05:13,Payroll Team,Employee 3862,Finance,Region West
HR-40027,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Resolved,P2 - High,12/07/2025 05:23,15/07/2025 00:05,Benefits Team,Employee 5992,Supply Chain,Region North
HR-40245,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,Closed,P3 - Medium,04/09/2025 09:47,06/09/2025 17:15,Benefits Team,Employee 1854,HR,Plant B
HR-40222,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,Resolved,P2 - High,17/07/2025 23:47,19/07/2025 18:03,HR Helpdesk,Employee 7902,R&D,Region North
HR-40104,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P2 - High,02/07/2025 18:06,08/07/2025 17:49,Payroll Team,Employee 9457,Manufacturing,Region North
HR-40218,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,Closed,P3 - Medium,03/09/2025 03:26,05/09/2025 23:11,Payroll Team,Employee 4015,R&D,Plant A
HR-40322,Reimbursement claim rejected without reason,Reimbursement claim rejected without reason. Employee raised via HR portal.,Reimbursements & Expenses,,Closed,P3 - Medium,06/08/2025 04:14,08/08/2025 13:52,Benefits Team,Employee 4728,R&D,Region South
HR-40040,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Closed,P3 - Medium,04/07/2025 15:59,07/07/2025 14:28,HR Helpdesk,Employee 4227,Regulatory Affairs,HQ
HR-40101,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,On Hold,P4 - Low,26/07/2025 01:21,,Benefits Team,Employee 6649,Finance,Plant A
HR-40025,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P2 - High,30/08/2025 21:20,01/09/2025 06:45,Benefits Team,Employee 5505,Quality,Plant A
HR-40323,Reimbursement claim rejected without reason,Reimbursement claim rejected without reason. Employee raised via HR portal.,Reimbursements & Expenses,,Closed,P4 - Low,21/07/2025 06:31,23/07/2025 04:42,Benefits Team,Employee 4909,Finance,Region West
HR-40173,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P3 - Medium,07/09/2025 18:59,13/09/2025 21:28,HR Helpdesk,Employee 9931,HR,Plant B
HR-40047,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,19/09/2025 01:47,20/09/2025 09:17,HR Helpdesk,Employee 3462,Marketing,Plant A
HR-40191,Add dependent to insurance policy,Add dependent to insurance policy. Employee raised via HR portal.,Benefits & Medical Insurance,,On Hold,P3 - Medium,04/07/2025 05:04,,Benefits Team,Employee 4606,Field Sales,Plant A
HR-40054,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Resolved,P2 - High,25/08/2025 18:44,27/08/2025 08:15,HR Helpdesk,Employee 3670,Field Sales,Region West
HR-40018,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,On Hold,P2 - High,12/08/2025 01:37,,Benefits Team,Employee 5424,R&D,Plant A
HR-40103,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P4 - Low,17/08/2025 11:41,22/08/2025 17:54,Benefits Team,Employee 8757,Field Sales,Plant B
HR-40251,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,On Hold,P2 - High,13/09/2025 21:54,,Payroll Team,Employee 8190,Regulatory Affairs,Region South
HR-40240,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,Closed,P3 - Medium,08/09/2025 19:32,10/09/2025 14:24,Benefits Team,Employee 4988,Quality,Region South
HR-40272,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Closed,P2 - High,14/09/2025 07:49,15/09/2025 20:37,Benefits Team,Employee 2371,IT,Plant A
HR-40160,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P4 - Low,04/07/2025 07:09,10/07/2025 15:21,HR Helpdesk,Employee 5691,R&D,Plant A
HR-40093,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Open,P4 - Low,29/07/2025 14:22,,HR Helpdesk,Employee 1557,IT,Region South
HR-40118,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Resolved,P4 - Low,04/08/2025 06:47,09/08/2025 09:24,Payroll Team,Employee 4926,Supply Chain,Region South
HR-40310,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,Closed,P2 - High,18/09/2025 07:10,19/09/2025 09:14,Benefits Team,Employee 8758,Regulatory Affairs,Region West
HR-40008,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P2 - High,25/07/2025 03:44,25/07/2025 15:13,Benefits Team,Employee 8720,Finance,HQ
HR-40053,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,On Hold,P3 - Medium,21/07/2025 04:28,,Payroll Team,Employee 3955,Finance,Region West
HR-40002,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Resolved,P2 - High,12/07/2025 01:02,12/07/2025 09:59,HR Helpdesk,Employee 8074,Finance,Region West
HR-40186,Add dependent to insurance policy,Add dependent to insurance policy. Employee raised via HR portal.,Benefits & Medical Insurance,,On Hold,P4 - Low,25/08/2025 15:01,,Benefits Team,Employee 2807,Finance,Region North
HR-40108,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P3 - Medium,14/08/2025 09:54,17/08/2025 08:48,Payroll Team,Employee 4119,Regulatory Affairs,HQ
HR-40300,ID card reissue,ID card reissue. Employee raised via HR portal.,ID Cards & Access,,Closed,P2 - High,22/08/2025 15:24,23/08/2025 17:24,Payroll Team,Employee 1604,HR,Region North
HR-40244,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,Closed,P2 - High,03/07/2025 03:31,05/07/2025 22:44,Benefits Team,Employee 6661,IT,HQ
HR-40281,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Closed,P2 - High,01/08/2025 21:39,02/08/2025 14:51,Payroll Team,Employee 2808,HR,HQ
HR-40170,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Open,P3 - Medium,09/08/2025 02:11,,Benefits Team,Employee 1072,Quality,Region West
HR-40253,Name correction in HR system,Name correction in HR system. Employee raised via HR portal.,Employee Data Updates,,Closed,P4 - Low,14/08/2025 15:55,20/08/2025 16:00,HR Helpdesk,Employee 4510,Regulatory Affairs,Region North
HR-40237,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,Closed,P2 - High,27/07/2025 21:31,29/07/2025 10:46,HR Helpdesk,Employee 5897,Finance,HQ
HR-40226,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,Resolved,P3 - Medium,13/08/2025 04:22,18/08/2025 00:54,HR Helpdesk,Employee 3109,IT,Plant A
HR-40155,Tax declaration window reopen request,Tax declaration window reopen request. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P2 - High,08/08/2025 23:28,10/08/2025 21:31,HR Helpdesk,Employee 2595,Manufacturing,Region South
HR-40149,Tax declaration window reopen request,Tax declaration window reopen request. Employee raised via HR portal.,PF/Investment/Tax,,On Hold,P4 - Low,07/07/2025 02:19,,Benefits Team,Employee 8368,R&D,Plant A
HR-40231,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,Closed,P3 - Medium,04/09/2025 22:26,07/09/2025 20:38,Payroll Team,Employee 5723,Supply Chain,Plant A
HR-40304,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,Resolved,P4 - Low,26/09/2025 11:21,27/09/2025 16:37,Payroll Team,Employee 6363,Finance,HQ
HR-40153,Tax declaration window reopen request,Tax declaration window reopen request. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P2 - High,17/09/2025 23:34,19/09/2025 04:31,Benefits Team,Employee 7033,Finance,Plant A
HR-40172,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P2 - High,27/08/2025 22:35,01/09/2025 15:03,Payroll Team,Employee 2327,Regulatory Affairs,Region South
HR-40006,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P2 - High,13/08/2025 01:54,15/08/2025 11:29,Payroll Team,Employee 3415,Field Sales,Region North
HR-40198,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,Closed,P2 - High,02/08/2025 18:00,06/08/2025 15:47,Payroll Team,Employee 1182,Quality,Region South
HR-40007,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Resolved,P4 - Low,05/07/2025 17:25,07/07/2025 11:36,Benefits Team,Employee 4715,IT,Region South
HR-40318,Reimbursement claim rejected without reason,Reimbursement claim rejected without reason. Employee raised via HR portal.,Reimbursements & Expenses,,On Hold,P2 - High,03/09/2025 05:25,,Payroll Team,Employee 2186,Supply Chain,Region South
HR-40235,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,Closed,P4 - Low,12/09/2025 20:40,13/09/2025 09:10,Payroll Team,Employee 5881,Field Sales,Region North
HR-40097,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P2 - High,06/08/2025 02:39,07/08/2025 10:59,Payroll Team,Employee 9426,R&D,Region West
HR-40117,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P2 - High,22/08/2025 11:47,29/08/2025 10:13,HR Helpdesk,Employee 3944,Quality,HQ
HR-40026,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,28/08/2025 12:45,30/08/2025 00:20,Benefits Team,Employee 5953,Quality,HQ
HR-40036,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Resolved,P3 - Medium,20/07/2025 18:03,21/07/2025 14:18,HR Helpdesk,Employee 2836,Field Sales,Plant B
HR-40136,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P3 - Medium,26/07/2025 16:48,09/08/2025 02:09,Benefits Team,Employee 3140,IT,HQ
HR-40230,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,Closed,P2 - High,17/08/2025 22:54,22/08/2025 17:24,HR Helpdesk,Employee 6250,Quality,Plant A
HR-40150,Tax declaration window reopen request,Tax declaration window reopen request. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P3 - Medium,29/08/2025 19:58,01/09/2025 05:23,HR Helpdesk,Employee 3838,IT,Region North
HR-40264,Name correction in HR system,Name correction in HR system. Employee raised via HR portal.,Employee Data Updates,,Closed,P4 - Low,06/09/2025 20:42,10/09/2025 06:52,Benefits Team,Employee 3570,R&D,Region North
HR-40057,Salary component query,Salary component query. Employee raised via HR portal.,Payroll & Compensation,,Resolved,P2 - High,15/07/2025 23:05,19/07/2025 12:06,Benefits Team,Employee 7541,IT,HQ
HR-40195,Add dependent to insurance policy,Add dependent to insurance policy. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P3 - Medium,11/07/2025 14:49,13/07/2025 09:08,Payroll Team,Employee 4203,R&D,Region South
HR-40316,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,Closed,P2 - High,16/07/2025 17:20,17/07/2025 10:50,Benefits Team,Employee 9611,HR,Region North
HR-40140,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Open,P4 - Low,25/07/2025 21:38,,HR Helpdesk,Employee 3904,Manufacturing,Region West
HR-40283,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Resolved,P2 - High,16/09/2025 20:06,18/09/2025 04:28,Benefits Team,Employee 7095,Quality,Plant A
HR-40112,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P4 - Low,13/08/2025 14:14,18/08/2025 05:12,HR Helpdesk,Employee 2311,Finance,Region South
HR-40278,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Closed,P4 - Low,14/07/2025 07:18,14/07/2025 22:35,HR Helpdesk,Employee 1619,Manufacturing,Plant A
HR-40314,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,On Hold,P3 - Medium,28/08/2025 10:18,,Payroll Team,Employee 9855,Supply Chain,HQ
HR-40114,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Open,P2 - High,02/09/2025 05:12,,Benefits Team,Employee 5313,Marketing,HQ
HR-40011,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Resolved,P2 - High,31/07/2025 18:13,02/08/2025 00:44,Payroll Team,Employee 5072,Quality,Region North
HR-40098,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Resolved,P3 - Medium,16/07/2025 00:43,22/07/2025 05:53,HR Helpdesk,Employee 7854,Supply Chain,Region South
HR-40254,Name correction in HR system,Name correction in HR system. Employee raised via HR portal.,Employee Data Updates,,Resolved,P2 - High,10/08/2025 20:21,17/08/2025 03:48,Payroll Team,Employee 9668,HR,Plant A
HR-40302,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,On Hold,P3 - Medium,31/08/2025 18:18,,Payroll Team,Employee 7748,Finance,Plant B
HR-40295,ID card reissue,ID card reissue. Employee raised via HR portal.,ID Cards & Access,,Closed,P3 - Medium,16/09/2025 13:09,20/09/2025 15:03,Benefits Team,Employee 9206,Supply Chain,Region South
HR-40005,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,18/09/2025 09:52,19/09/2025 09:49,HR Helpdesk,Employee 5811,Quality,Plant A
HR-40004,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P3 - Medium,06/08/2025 11:18,09/08/2025 07:52,Benefits Team,Employee 1643,Regulatory Affairs,Plant A
HR-40247,Bank account update for salary credit,Bank account update for salary credit. Employee raised via HR portal.,Employee Data Updates,,Closed,P2 - High,11/08/2025 03:49,13/08/2025 14:35,Payroll Team,Employee 5566,HR,HQ
HR-40207,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,Closed,P4 - Low,01/07/2025 01:23,04/07/2025 05:58,Benefits Team,Employee 2437,HR,Plant B
HR-40074,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Closed,P3 - Medium,19/09/2025 22:13,21/09/2025 05:33,Benefits Team,Employee 4017,Supply Chain,Region North
HR-40306,HR app login not working,HR app login not working. Employee raised via HR portal.,HR App/Tech Support,,Resolved,P2 - High,27/09/2025 23:09,28/09/2025 12:30,Payroll Team,Employee 4257,Marketing,Region South
HR-40080,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Closed,P2 - High,06/09/2025 20:30,09/09/2025 00:59,Benefits Team,Employee 6158,Quality,Region North
HR-40113,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Closed,P2 - High,22/07/2025 15:49,28/07/2025 14:45,HR Helpdesk,Employee 5936,Finance,Region South
HR-40282,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Closed,P3 - Medium,21/08/2025 03:00,22/08/2025 12:43,HR Helpdesk,Employee 7008,Manufacturing,Region South
HR-40001,Payslip not available for June,Payslip not available for June. Employee raised via HR portal.,Payroll & Compensation,,Closed,P4 - Low,27/09/2025 22:16,30/09/2025 09:39,Benefits Team,Employee 2702,R&D,Plant B
HR-40068,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Closed,P2 - High,18/08/2025 21:42,21/08/2025 12:06,Payroll Team,Employee 4083,R&D,Plant B
HR-40131,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Resolved,P4 - Low,13/09/2025 09:12,24/09/2025 16:46,HR Helpdesk,Employee 4977,Field Sales,Plant A
HR-40219,Experience certificate request,Experience certificate request. Employee raised via HR portal.,Letters & Certificates,,Closed,P3 - Medium,31/08/2025 20:41,02/09/2025 07:30,HR Helpdesk,Employee 6457,Quality,Region South
HR-40164,Medical insurance card not received,Medical insurance card not received. Employee raised via HR portal.,Benefits & Medical Insurance,,Closed,P2 - High,16/07/2025 14:50,25/07/2025 15:16,Payroll Team,Employee 7629,Manufacturing,HQ
HR-40201,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,Closed,P4 - Low,14/08/2025 16:56,16/08/2025 13:32,Benefits Team,Employee 5019,Manufacturing,Region North
HR-40144,Tax declaration window reopen request,Tax declaration window reopen request. Employee raised via HR portal.,PF/Investment/Tax,,Closed,P2 - High,31/07/2025 13:53,03/08/2025 13:15,Benefits Team,Employee 4024,Regulatory Affairs,Region West
HR-40134,PF transfer status,PF transfer status. Employee raised via HR portal.,PF/Investment/Tax,,Open,P3 - Medium,20/07/2025 21:03,,HR Helpdesk,Employee 2053,Marketing,Plant B
HR-40184,Add dependent to insurance policy,Add dependent to insurance policy. Employee raised via HR portal.,Benefits & Medical Insurance,,Resolved,P4 - Low,08/07/2025 06:30,12/07/2025 04:12,Benefits Team,Employee 4037,Supply Chain,Plant A
HR-40188,Add dependent to insurance policy,Add dependent to insurance policy. Employee raised via HR portal.,Benefits & Medical Insurance,,Resolved,P3 - Medium,04/07/2025 18:10,11/07/2025 16:50,Payroll Team,Employee 6959,IT,Region North
HR-40197,Employment letter for visa application,Employment letter for visa application. Employee raised via HR portal.,Letters & Certificates,,Open,P2 - High,27/08/2025 14:49,,HR Helpdesk,Employee 8970,Field Sales,Region South
HR-40102,Attendance regularization pending manager approval,Attendance regularization pending manager approval. Employee raised via HR portal.,Attendance & Leave,,Resolved,P4 - Low,13/08/2025 03:55,16/08/2025 14:02,Benefits Team,Employee 3892,Supply Chain,Region North
HR-40280,Onboarding documents upload failing,Onboarding documents upload failing. Employee raised via HR portal.,Onboarding & Offboarding,,Closed,P2 - High,14/09/2025 20:44,16/09/2025 16:46,Benefits Team,Employee 9241,IT,Plant A
HR-40066,Leave balance incorrect after regularization,Leave balance incorrect after regularization. Employee raised via HR portal.,Attendance & Leave,,Open,P2 - High,24/08/2025 00:23,,Payroll Team,Employee 1019,Marketing,Region South
