RequestID,Subject,Description,Application,Requester,Department,Created Time,Request Status,Technician,Resolved By
REQ-5075,VPN not connecting,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Approved,Employee 9084,Finance,2025-09-03 09:38:18,Closed,Tech 06,Agent 04
REQ-5076,Need code assistant access,please look into this,Not Requested,Employee 7132,IT,2025-09-02 02:24:56,Closed,Tech 05,Agent 02
REQ-5077,Laptop replacement,please look into this,Not Requested,Employee 1564,Supply Chain,2025-09-03 09:34:16,Closed,Tech 03,Agent 05
REQ-5078,Add user to distribution list,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 8648,Marketing,2025-09-03 00:23:00,On Hold,Tech 01,Agent 01
REQ-5079,Requesting software install,please look into this,Not Requested,Employee 4027,Regulatory Affairs,2025-09-02 18:57:53,Transfer to Infra,Tech 03,Agent 04
REQ-5080,System slow after patch,please look into this,Not Requested,Employee 4873,HR,2025-09-03 16:39:42,Transfer to Infra,Tech 04,Agent 06
REQ-5081,Add user to distribution list,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 5226,Quality,2025-09-04 00:17:14,On Hold,Tech 01,Agent 05
REQ-5082,Add user to distribution list,please look into this,Not Requested,Employee 5321,Marketing,2025-09-03 00:17:19,Closed,Tech 03,Agent 01
REQ-5083,Access removal request,please look into this,Not Requested,Employee 6526,IT,2025-09-03 15:39:32,On Hold,Tech 06,Agent 06
REQ-5084,Need code assistant access,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Approved,Employee 3143,Finance,2025-09-06 11:41:11,Closed,Tech 06,Agent 03
REQ-5085,Weekly compliance report India,please look into this,Not Requested,Employee 1633,Finance,2025-09-04 20:18:45,On Hold,Tech 06,Agent 05
REQ-5086,Weekly compliance report India,please look into this,Not Requested,Employee 8026,Marketing,2025-09-01 06:08:32,Closed,Tech 06,Agent 02
REQ-5087,Requesting software install,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 4335,Supply Chain,2025-09-04 19:56:16,Closed,Tech 04,Agent 06
REQ-5088,Add user to distribution list,please look into this,Not Requested,Employee 2679,Supply Chain,2025-09-02 10:59:54,Transfer to Infra,Tech 04,Agent 03
REQ-5089,System slow after patch,please look into this,Not Requested,Employee 9517,R&D,2025-09-05 20:00:47,Closed,Tech 03,Agent 01
REQ-5090,Laptop replacement,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 8531,IT,2025-09-04 15:09:37,Closed,Tech 04,Agent 05
REQ-5091,Access removal request,please look into this,Not Requested,Employee 4246,Regulatory Affairs,2025-09-03 04:00:41,Closed,Tech 05,Agent 02
REQ-5092,Need code assistant access,please look into this,Approved,Employee 9948,Supply Chain,2025-09-03 07:57:07,Closed,Tech 04,Agent 02
REQ-5093,Add user to distribution list,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 7268,Finance,2025-09-03 13:02:17,On Hold,Tech 04,Agent 01
REQ-5094,Email id creation for new joinees,please look into this,Not Requested,Employee 3938,Quality,2025-09-02 06:54:06,Closed,Tech 06,Agent 05
REQ-5095,Laptop replacement,please look into this,Not Requested,Employee 5722,Quality,2025-09-01 14:11:07,Closed,Tech 02,Agent 03
REQ-5096,Add user to distribution list,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 1665,HR,2025-09-04 06:23:58,Closed,Tech 06,Agent 03
REQ-5097,Requesting software install,please look into this,Not Requested,Employee 3880,Regulatory Affairs,2025-09-03 03:50:31,Open,Tech 04,Agent 06
REQ-5098,Laptop replacement,please look into this,Not Requested,Employee 6966,Supply Chain,2025-09-03 06:25:02,Closed,Tech 04,Agent 05
REQ-5099,Laptop replacement,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 7571,R&D,2025-09-04 15:23:58,Closed,Tech 01,Agent 05
REQ-5100,System slow after patch,please look into this,Cancelled,Employee 7825,Field Sales,2025-09-03 23:28:46,Transfer to Infra,Tech 02,Agent 06
REQ-5101,Weekly compliance report India,please look into this,Approved,Employee 2426,R&D,2025-09-02 22:03:48,Closed,Tech 03,Agent 05
REQ-5102,Email id creation for new joinees,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 2117,HR,2025-09-01 01:40:29,On Hold,Tech 04,Agent 01
REQ-5103,Laptop replacement,please look into this,Not Requested,Employee 4109,Supply Chain,2025-09-02 10:54:12,Closed,Tech 04,Agent 01
REQ-5104,Email id creation for new joinees,please look into this,Not Requested,Employee 7893,IT,2025-09-02 13:10:57,Closed,Tech 01,Agent 06
REQ-5105,Weekly compliance report India,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 1197,HR,2025-09-01 07:36:17,Closed,Tech 05,Agent 03
REQ-5106,VPN not connecting,please look into this,Not Requested,Employee 8277,Regulatory Affairs,2025-09-02 03:29:04,Closed,Tech 06,Agent 04
REQ-5107,VPN not connecting,please look into this,Not Requested,Employee 8601,Field Sales,2025-09-02 10:47:47,Open,Tech 05,Agent 03
REQ-5108,Weekly compliance report India,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 4957,Regulatory Affairs,2025-09-01 07:46:16,Closed,Tech 01,Agent 01
REQ-5109,Access removal request,please look into this,Not Requested,Employee 4420,Quality,2025-09-02 02:15:34,Closed,Tech 04,Agent 01
REQ-5110,Password reset needed,please look into this,Not Requested,Employee 6555,Field Sales,2025-09-04 10:37:25,Closed,Tech 01,Agent 06
REQ-5111,Requesting software install,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Approved,Employee 8873,Regulatory Affairs,2025-09-03 11:22:59,On Hold,Tech 04,Agent 04
REQ-5112,VPN not connecting,please look into this,Not Requested,Employee 2734,HR,2025-09-06 10:41:48,Closed,Tech 05,Agent 01
REQ-5113,Requesting software install,please look into this,Not Requested,Employee 3996,Manufacturing,2025-09-01 17:52:27,Closed,Tech 02,Agent 05
REQ-5114,VPN not connecting,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 8100,IT,2025-09-04 08:47:47,Closed,Tech 01,Agent 03
REQ-5115,System slow after patch,please look into this,Approved,Employee 1819,Manufacturing,2025-09-06 21:39:25,Closed,Tech 02,Agent 02
REQ-5116,Email id creation for new joinees,please look into this,Not Requested,Employee 7439,Finance,2025-09-05 22:20:43,Open,Tech 05,Agent 03
REQ-5117,Printer offline level 3,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Not Requested,Employee 3124,Finance,2025-09-05 07:50:16,On Hold,Tech 06,Agent 02
REQ-5118,VPN not connecting,please look into this,Not Requested,Employee 3083,HR,2025-09-04 07:24:39,Closed,Tech 02,Agent 01
REQ-5119,Requesting software install,please look into this,Not Requested,Employee 7012,Marketing,2025-09-06 05:22:11,On Hold,Tech 03,Agent 04
REQ-5120,Email id creation for new joinees,"FYI, see thread below. <https://tracking.example-mailer.invalid/ls/click?upn=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA> [image] follow us on social. Service call returned an error: request channel timed out while waiting for a reply after 00:03:59. Increase the SendTimeout value on the binding. 2025-09-03 11:26:17 Contacts {A5006D7F-4CBB-F011-A9EB-000D3AD09F7D}",Approved,Employee 4614,HR,2025-09-06 11:39:14,Closed,Tech 06,Agent 01
